# x[kpc] y[kpc] z[kpc] vx[km/s] vy[km/s] vz[km/s]
1.326020777481941026e-01 6.387640058997173798e-01 4.166947491053784591e-01 -8.113387046551270743e+00 5.787265047401488616e+00 1.087254838248189870e+01
-5.159045896705766882e-02 4.664835159477554449e-01 6.891749336120724934e-01 -6.944955920403200089e+00 8.602872991723291562e+00 1.866936283150067055e+01
1.536957147598476126e-01 1.132413407930404903e+00 -1.510711993072123560e+00 -5.130481330738597912e+00 9.742099618418743390e+00 2.240055304944841907e+01
6.514434016312062870e-01 3.318603302632736063e-01 -5.770514762382289442e-01 -9.972309917488808573e-01 -9.669393414898870276e+00 2.068462108594373294e+00
-2.155316287519365992e-01 -3.052643218230017830e-01 -2.261975599673652637e-01 -7.453817239439205267e+00 1.851540006864345500e+00 -4.877863922706666244e+00
-4.722389946379400572e-01 -7.382116172044047575e-01 -3.350021744996562467e-01 -8.324159721392234701e+00 -4.555764692511035108e+00 -2.942605822364987578e+00
-2.220904704114806894e+00 4.649908632793344765e-01 6.680036828524718029e-01 1.028382979957456200e-01 -2.365965648343399064e+00 -6.211253025044106479e+00
2.767654901433714842e-01 -9.202199610501433646e-01 -3.416893928535070235e-01 5.438823628420525580e+00 2.353141456697296974e+01 -8.202190573157487563e+00
-6.181158320398918438e-01 3.158900225134304018e-01 8.667967632359068197e-01 -9.379924028874793152e+00 -5.964840441926871684e+00 1.295292200608710687e+01
1.118881047972972276e+00 -5.616184611339027910e-01 1.518649284771123709e+00 -1.932407499598099321e+01 2.059585340627598793e+00 2.483103123530313816e+00
-1.227278026428161528e+00 -3.714826298102568147e-01 1.014272670486499495e+00 -1.310283820538122157e+01 -3.341982270924210852e-01 -2.474163407596492448e-01
3.367461295215343209e-01 -1.286221247488778419e+00 -4.781868975371024177e-01 -1.515821121583217490e+01 -9.871461505027660621e+00 1.416429252098658687e+01
2.424096448561262385e+00 3.889128303418853072e+00 -1.686079735379261146e+00 5.973142747354883042e+00 4.531616243703311397e+00 7.904190670618485903e+00
-5.998889363363941740e-01 1.507333983221774920e+00 1.793124825356722685e+00 3.064107340412295155e+00 1.242141957472504998e+00 1.580514786287018225e+01
6.282014255436122241e+00 5.198417081095731085e+00 1.017209346345645526e+00 -1.272916144855304310e+01 4.721158300093860838e+00 -5.943320812426270194e+00
-6.344920050023760139e-01 1.171247783685909649e+00 -4.205848047224530206e-01 3.320261461343021026e+00 1.460926303611913557e+00 1.884173054730188923e+00
-1.816681654218015751e+00 2.770449347165062637e+00 -6.631050407060321561e-01 -2.884895262100695135e-02 -1.374586074131893199e+01 -5.675223281374646156e-01
-1.092097686188396644e+00 -4.084063415564701677e-02 -4.018283483235445819e-01 7.011509846213965780e+00 -7.790787659613127580e-01 1.212673255974129205e+01
-1.013625014179648565e+00 -8.972648674082729370e-01 -2.158524396942506751e+00 3.273344025991693496e+00 -2.621916437417667467e+01 1.112095648433119344e+01
1.382938121656876573e+00 4.552754401900247494e-01 4.041559294044589357e-01 -3.134000487545304914e+00 2.438031905331921045e+00 -1.005573966923816798e+01
-1.135724818676252107e-01 7.151225374767581355e-01 1.553988449801618765e-01 -1.278227024034887549e+01 3.965964981049777016e+00 -3.751390320605842099e+00
4.346069173245845768e-02 -1.296786470850251061e-01 1.880266141111746891e-01 6.362136892544540956e-01 3.291295263008954031e+00 1.561222985183424283e+00
-1.257997333539410956e-01 3.939027957186220785e-01 1.316817572985198304e-01 1.577674433030434287e+01 2.866142919245198151e+00 -3.014213982336965802e+00
2.096245593436861232e-01 4.273940013155556605e-01 2.208902300623334924e-01 1.038037679094607668e+01 7.260839243833151713e+00 -4.308632195730163872e+00
1.908651918250358140e-02 -1.532501051859571639e+00 1.546947453803428685e+00 -7.894452415265662992e+00 5.128984796730082785e+00 1.148509247054850491e+01
5.592341431931849849e-01 6.813087827526594920e-01 7.307935071911042524e-01 1.113459105939248950e+01 -1.189145140213136642e+01 3.142974275956989416e+00
1.545524816830259329e+00 -1.108332952573098273e+00 1.976993059192216684e+00 -6.929950072347921264e+00 3.187974108784486837e+00 2.429855347612044802e+00
2.089302982078192483e-01 -6.133275006932563667e-01 -1.998887423412933767e-02 -1.088619598641235697e+01 7.119318535209577803e+00 2.387235580498583865e+00
-7.004137385455377895e-01 1.610621723254407112e+00 -3.930473173515012686e+00 -6.742082922570530101e+00 -4.722607353683384801e+00 -9.766502758987924082e+00
4.428738384112529403e-01 2.852738287106511561e-01 2.282635337136326714e-01 -6.214076018766155229e+00 1.499051980737250389e+01 -1.944772605745395566e+01
-1.025839038535534681e-01 -3.155780683761067462e-01 -1.982146311696129093e-01 2.144036890210826662e+00 2.234514147390040506e+01 1.282866200821823455e+00
4.970710106776516923e-01 -1.095413901161565340e+00 -7.161197922956393791e-01 1.568866301213435932e+01 -1.364673826636666476e+00 -2.822517435873832881e+01
-6.426436932161324611e-01 -2.199859912005411311e-01 -1.012771012636507262e+00 -8.749138941276523695e+00 2.688346081762639450e+00 -8.436963000254706913e+00
-4.349052940762468955e-01 -5.638874120473421625e-01 3.624697134267401144e-01 -1.611297182031323416e+01 5.609165751068552197e+00 -8.972975213929137439e+00
-2.055279407461122254e+00 -5.758224739718992985e-02 7.677208636238128658e-01 2.355930919011179014e+01 -7.661880624603187862e+00 -9.402985893772175530e+00
4.614655178696508986e-01 8.899825995073983032e-02 -7.492339536843156678e-01 -5.912925181517072470e-01 1.359361539904352156e+01 4.924917331978496016e+00
6.399236567471137116e-01 6.718827709104210344e-01 -1.854334857649720947e-01 -6.010960841245942987e+00 -5.747319688063400989e+00 8.371782592723508998e+00
-7.167898209378346097e-01 -5.090936615436247870e-01 -1.007434921641950254e+00 5.852663157887464607e+00 2.152771483284569243e+00 5.400840170480003088e+00
